KEY,CN,EN
APP_NAME,成语飞花令,Idiom Flower
APP_NAME_HD,成语飞花令HD,Idiom Flower HD
UIMAIN_SHARE_TITLE,儿童涂色动物园-绘画好工具,Kids Coloring Zoo Paint Tool
UIMAIN_SHARE_DETAIL,涂色培养孩子的绘画技能和创造力,Coloring cultivate children's painting skills and creativity
UIGAME_SHARE_TITLE,儿童涂色动物园-绘画好工具,Kids Coloring Zoo Paint Tool
UIGAME_SHARE_DETAIL,涂色培养孩子的绘画技能和创造力,Coloring cultivate children's painting skills
STR_UIVIEWALERT_TITLE_GAME_FINISH,成功,Success
STR_UIVIEWALERT_MSG_GAME_FINISH,答题正确你太棒了！,You were right!
STR_UIVIEWALERT_YES_GAME_FINISH,下一题,Next
STR_UIVIEWALERT_NO_GAME_FINISH,返回,Back
KEY_GAMEWIN_INFO_INTRO,诗歌简介,Main Intro
STR_AUTHOR,诗人,Author
STR_HOWPLAY_TITLE0,欢迎,Welcome
STR_HOWPLAY_DETAIL0,从打乱的文字里找出隐藏的成语,Find out the hidden idioms from the disordered words
STR_HOWPLAY_TITLE1,滑动而不是点击,Slide instead of Click
STR_HOWPLAY_DETAIL1,"将成语顺序滑动连接起,注意是滑动而不是点击","Connect idioms in a sliding order, paying attention to sliding rather than clicking"
STR_HOWPLAY_TITLE2,顺序很重要,Order matters
STR_HOWPLAY_DETAIL2,"连接的顺序非常重要,如果无法继续,点击刷新按钮重新开始","The order of connections is very important. If you can't continue, click refresh to start again"
STR_HOWPLAY_TITLE3,提示,Tips
STR_HOWPLAY_DETAIL3,点击提示会提示一个字,Click the prompt to prompt a word
STR_HOWPLAY_TITLE4,成语,Idiom
STR_HOWPLAY_DETAIL4,过关后会有本关成语的相关来历及解释也可以随时找到相应的关卡进行回看学习,"After passing the customs, there will be relevant origins and explanations of the idioms in this customs. You can also find the corresponding customs at any time to review and learn"
STR_HOWPLAY_TITLE5,分享获得提示,Share get tips
STR_HOWPLAY_DETAIL5,"遇到问题可以分享出去,请朋友们帮忙。每日分享一次也可以获得十个提示","If you have any problems, you can share them. Please ask your friends for help. You can also get ten tips by sharing once a day"